,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
596,GTEX-ZV7C-0008-SM-57WCL,GTEX,11.25,Cell Line,Cells,GTEX: Cell Line
602,GTEX-12WSM-0726-SM-5GCOW,GTEX,11.14,Normal Tissue,Liver,GTEX: Normal Tissue
603,GTEX-ZC5H-2726-SM-5KLZW,GTEX,12.19,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
606,GTEX-11DXY-1526-SM-5H129,GTEX,11.51,Normal Tissue,Esophagus,GTEX: Normal Tissue
607,GTEX-WYJK-0326-SM-3NMA8,GTEX,13.3,Normal Tissue,Nerve,GTEX: Normal Tissue
609,GTEX-WVLH-0226-SM-3MJG6,GTEX,10.65,Normal Tissue,Adipose,GTEX: Normal Tissue
610,GTEX-13SLX-0011-R4a-SM-5O9BJ,GTEX,10.66,Normal Tissue,Brain,GTEX: Normal Tissue
613,GTEX-13FHP-3026-SM-5IJBS,GTEX,9.765,Normal Tissue,Brain,GTEX: Normal Tissue
617,GTEX-12WSJ-1326-SM-5GCOB,GTEX,11.52,Normal Tissue,Vagina,GTEX: Normal Tissue
618,GTEX-ZYFG-0126-SM-5GIDH,GTEX,12.28,Normal Tissue,Artery,GTEX: Normal Tissue
622,GTEX-ZAB5-1426-SM-5HL9D,GTEX,11.49,Normal Tissue,Colon,GTEX: Normal Tissue
623,GTEX-ZYFG-1526-SM-5GZYM,GTEX,13.06,Normal Tissue,Skin,GTEX: Normal Tissue
625,GTEX-WYJK-0626-SM-4ONCZ,GTEX,12.81,Normal Tissue,Prostate,GTEX: Normal Tissue
626,GTEX-11EQ9-1126-SM-5987I,GTEX,9.057,Normal Tissue,Adipose,GTEX: Normal Tissue
628,GTEX-T8EM-1826-SM-4DM7F,GTEX,12.56,Normal Tissue,Prostate,GTEX: Normal Tissue
629,GTEX-Y111-1826-SM-4SOIR,GTEX,12.01,Normal Tissue,Esophagus,GTEX: Normal Tissue
630,GTEX-11ZTT-0426-SM-5EQLK,GTEX,11.82,Normal Tissue,Artery,GTEX: Normal Tissue
631,GTEX-13O21-2526-SM-5J1OZ,GTEX,12.29,Normal Tissue,Artery,GTEX: Normal Tissue
633,GTEX-NPJ8-0011-R6a-SM-2HMKB,GTEX,11.27,Normal Tissue,Brain,GTEX: Normal Tissue
634,GTEX-111YS-1726-SM-5GIED,GTEX,12.26,Normal Tissue,Prostate,GTEX: Normal Tissue
636,GTEX-OHPM-2626-SM-33HC5,GTEX,12.89,Normal Tissue,Thyroid,GTEX: Normal Tissue
639,GTEX-1497J-0005-SM-5NQBD,GTEX,9.598,Normal Tissue,Whole Blood,GTEX: Normal Tissue
644,GTEX-S7SE-0526-SM-2XCD8,GTEX,12.29,Normal Tissue,Artery,GTEX: Normal Tissue
651,GTEX-QCQG-1926-SM-2S1PI,GTEX,12.06,Normal Tissue,Artery,GTEX: Normal Tissue
654,GTEX-ZPCL-2426-SM-57WFP,GTEX,12.53,Normal Tissue,Nerve,GTEX: Normal Tissue
658,GTEX-XGQ4-1526-SM-4AT6H,GTEX,12.96,Normal Tissue,Esophagus,GTEX: Normal Tissue
659,GTEX-11GSP-0011-R6b-SM-57WBQ,GTEX,10.95,Normal Tissue,Brain,GTEX: Normal Tissue
660,GTEX-11XUK-1426-SM-5EQMG,GTEX,12.27,Normal Tissue,Small Intestine,GTEX: Normal Tissue
663,GTEX-Y5V6-1026-SM-4VBS2,GTEX,13.58,Normal Tissue,Esophagus,GTEX: Normal Tissue
668,GTEX-111FC-0226-SM-5N9B8,GTEX,11.08,Normal Tissue,Adipose,GTEX: Normal Tissue
670,GTEX-WHPG-2326-SM-3NMBP,GTEX,12.51,Normal Tissue,Artery,GTEX: Normal Tissue
673,GTEX-YEC4-2126-SM-5IFJH,GTEX,13.58,Normal Tissue,Skin,GTEX: Normal Tissue
675,GTEX-UJHI-1026-SM-4IHJP,GTEX,11.6,Normal Tissue,Stomach,GTEX: Normal Tissue
677,GTEX-11EQ9-0526-SM-5A5JZ,GTEX,12.19,Normal Tissue,Liver,GTEX: Normal Tissue
679,GTEX-WHSE-1526-SM-4M1XH,GTEX,12.86,Normal Tissue,Esophagus,GTEX: Normal Tissue
680,GTEX-12BJ1-0126-SM-5LU9P,GTEX,11.37,Normal Tissue,Artery,GTEX: Normal Tissue
681,GTEX-13RTJ-0726-SM-5QGQN,GTEX,12.21,Normal Tissue,Heart,GTEX: Normal Tissue
683,GTEX-XYKS-0002-SM-4BRWN,GTEX,8.415,Cell Line,Cells,GTEX: Cell Line
685,GTEX-X4XX-0011-R10B-SM-46MWO,GTEX,8.495,Normal Tissue,Brain,GTEX: Normal Tissue
686,GTEX-SIU8-0126-SM-2XCDT,GTEX,13.52,Normal Tissue,Skin,GTEX: Normal Tissue
689,GTEX-ZVP2-1526-SM-5NQ82,GTEX,12.59,Normal Tissue,Colon,GTEX: Normal Tissue
690,GTEX-11GS4-0008-SM-5QGRA,GTEX,11.55,Cell Line,Cells,GTEX: Cell Line
692,GTEX-13G51-0011-R11b-SM-5J2NE,GTEX,8.536,Normal Tissue,Brain,GTEX: Normal Tissue
695,GTEX-146FH-0326-SM-5QGPT,GTEX,12.84,Normal Tissue,Nerve,GTEX: Normal Tissue
697,GTEX-XYKS-0226-SM-4BRW3,GTEX,12.58,Normal Tissue,Heart,GTEX: Normal Tissue
700,GTEX-13NZB-2026-SM-5MR4M,GTEX,11.32,Normal Tissue,Testis,GTEX: Normal Tissue
702,GTEX-RNOR-0826-SM-2TF5C,GTEX,12.24,Normal Tissue,Heart,GTEX: Normal Tissue
704,GTEX-WEY5-0426-SM-3GIKT,GTEX,12.15,Normal Tissue,Heart,GTEX: Normal Tissue
705,GTEX-12WSM-0326-SM-5LZVI,GTEX,10.69,Normal Tissue,Muscle,GTEX: Normal Tissue
706,GTEX-11I78-0826-SM-5A5K4,GTEX,12.24,Normal Tissue,Heart,GTEX: Normal Tissue
708,GTEX-11EI6-3026-SM-5GZZO,GTEX,10.3,Normal Tissue,Brain,GTEX: Normal Tissue
709,GTEX-13U4I-2026-SM-5LU3L,GTEX,12.3,Normal Tissue,Vagina,GTEX: Normal Tissue
716,GTEX-13OVI-0826-SM-5KLZ8,GTEX,12.65,Normal Tissue,Thyroid,GTEX: Normal Tissue
719,GTEX-1399T-1326-SM-5PNVH,GTEX,11.04,Normal Tissue,Adipose,GTEX: Normal Tissue
721,GTEX-13NYS-2926-SM-5IFGH,GTEX,10.31,Normal Tissue,Pituitary,GTEX: Normal Tissue
722,GTEX-QEG4-0426-SM-5S2VQ,GTEX,12.0,Normal Tissue,Heart,GTEX: Normal Tissue
731,GTEX-ZLWG-0626-SM-4WWFR,GTEX,11.61,Normal Tissue,Lung,GTEX: Normal Tissue
732,GTEX-P4PP-0005-SM-2HMKX,GTEX,7.131,Normal Tissue,Whole Blood,GTEX: Normal Tissue
734,GTEX-X4EP-0826-SM-3P5YK,GTEX,12.15,Normal Tissue,Artery,GTEX: Normal Tissue
736,GTEX-11DYG-2526-SM-5N9BB,GTEX,13.36,Normal Tissue,Prostate,GTEX: Normal Tissue
737,GTEX-S3XE-1026-SM-4AD4O,GTEX,12.45,Normal Tissue,Stomach,GTEX: Normal Tissue
738,GTEX-QLQ7-1626-SM-2S1R8,GTEX,13.31,Normal Tissue,Skin,GTEX: Normal Tissue
739,GTEX-1399S-2226-SM-5IFEW,GTEX,12.02,Normal Tissue,Uterus,GTEX: Normal Tissue
743,GTEX-13OW8-2726-SM-5L3FZ,GTEX,11.56,Normal Tissue,Colon,GTEX: Normal Tissue
744,GTEX-WQUQ-2426-SM-4MVNW,GTEX,13.28,Normal Tissue,Small Intestine,GTEX: Normal Tissue
745,GTEX-XBED-0006-SM-47JXO,GTEX,7.41,Normal Tissue,Whole Blood,GTEX: Normal Tissue
749,GTEX-RWSA-1426-SM-47JXA,GTEX,11.98,Normal Tissue,Liver,GTEX: Normal Tissue
750,GTEX-111CU-0226-SM-5GZXC,GTEX,12.82,Normal Tissue,Thyroid,GTEX: Normal Tissue
751,GTEX-ZDXO-2426-SM-5S2NJ,GTEX,10.78,Normal Tissue,Adipose,GTEX: Normal Tissue
756,GTEX-13OW6-0326-SM-5L3H9,GTEX,11.6,Normal Tissue,Artery,GTEX: Normal Tissue
759,GTEX-RN64-0826-SM-2TC62,GTEX,11.74,Normal Tissue,Heart,GTEX: Normal Tissue
763,GTEX-QCQG-1926-SM-5SI7Q,GTEX,12.43,Normal Tissue,Artery,GTEX: Normal Tissue
765,GTEX-X585-3026-SM-46MWF,GTEX,9.308,Normal Tissue,Brain,GTEX: Normal Tissue
767,GTEX-QEL4-1326-SM-447AD,GTEX,12.22,Normal Tissue,Pancreas,GTEX: Normal Tissue
770,GTEX-ZVT3-0826-SM-5GIC8,GTEX,13.08,Normal Tissue,Heart,GTEX: Normal Tissue
773,GTEX-11WQK-3126-SM-5EGI2,GTEX,9.395,Normal Tissue,Brain,GTEX: Normal Tissue
777,GTEX-Q2AH-1726-SM-2S1OT,GTEX,9.799,Normal Tissue,Adipose,GTEX: Normal Tissue
784,GTEX-139UC-3226-SM-5N9EZ,GTEX,9.45,Normal Tissue,Brain,GTEX: Normal Tissue
785,GTEX-13OW7-2726-SM-5L3HN,GTEX,8.609,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
786,GTEX-145MH-3026-SM-5Q5DZ,GTEX,8.64,Normal Tissue,Brain,GTEX: Normal Tissue
788,GTEX-13NYC-2426-SM-5MR3K,GTEX,13.29,Normal Tissue,Thyroid,GTEX: Normal Tissue
789,GTEX-ZAB5-0626-SM-5PNVB,GTEX,11.72,Normal Tissue,Lung,GTEX: Normal Tissue
791,GTEX-12WSI-0226-SM-5GCNA,GTEX,12.91,Normal Tissue,Liver,GTEX: Normal Tissue
793,GTEX-13JVG-0526-SM-5IJBN,GTEX,13.06,Normal Tissue,Nerve,GTEX: Normal Tissue
794,GTEX-SSA3-0008-SM-47JWJ,GTEX,10.93,Cell Line,Cells,GTEX: Cell Line
795,GTEX-ZYT6-1326-SM-5E453,GTEX,12.0,Normal Tissue,Pancreas,GTEX: Normal Tissue
796,GTEX-ZT9W-1326-SM-51MTB,GTEX,13.17,Normal Tissue,Esophagus,GTEX: Normal Tissue
797,GTEX-13NZB-2526-SM-5J1OM,GTEX,13.76,Normal Tissue,Skin,GTEX: Normal Tissue
798,GTEX-13PVQ-0426-SM-5J1OG,GTEX,12.83,Normal Tissue,Nerve,GTEX: Normal Tissue
800,GTEX-ZZPT-2926-SM-5EQ5S,GTEX,10.01,Normal Tissue,Brain,GTEX: Normal Tissue
801,GTEX-12WSB-2426-SM-5EGJC,GTEX,13.47,Normal Tissue,Vagina,GTEX: Normal Tissue
803,GTEX-11GSO-2426-SM-5A5LY,GTEX,13.43,Normal Tissue,Skin,GTEX: Normal Tissue
804,GTEX-12696-0826-SM-5EGGE,GTEX,11.02,Normal Tissue,Liver,GTEX: Normal Tissue
805,GTEX-OXRL-0126-SM-2YUMP,GTEX,13.17,Normal Tissue,Skin,GTEX: Normal Tissue
807,GTEX-ZYFD-1026-SM-5E43Z,GTEX,8.354,Normal Tissue,Adipose,GTEX: Normal Tissue
808,GTEX-12ZZX-0011-R5a-SM-5HL89,GTEX,10.66,Normal Tissue,Brain,GTEX: Normal Tissue
810,GTEX-U3ZM-0826-SM-4DXU6,GTEX,11.04,Normal Tissue,Bladder,GTEX: Normal Tissue
813,GTEX-WHSE-2926-SM-3NMBG,GTEX,9.187,Normal Tissue,Brain,GTEX: Normal Tissue
819,GTEX-11P81-0926-SM-59874,GTEX,11.28,Normal Tissue,Esophagus,GTEX: Normal Tissue
821,GTEX-U4B1-0126-SM-4DXSN,GTEX,9.25,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
822,GTEX-13QBU-1626-SM-5LU4S,GTEX,11.83,Normal Tissue,Uterus,GTEX: Normal Tissue
825,GTEX-XUJ4-1926-SM-4BOOV,GTEX,12.09,Normal Tissue,Breast,GTEX: Normal Tissue
828,GTEX-ZAB4-1726-SM-5HL8C,GTEX,11.83,Normal Tissue,Pancreas,GTEX: Normal Tissue
829,GTEX-ZYY3-1726-SM-5EGH3,GTEX,12.01,Normal Tissue,Stomach,GTEX: Normal Tissue
831,GTEX-11WQK-0226-SM-5EQLI,GTEX,11.16,Normal Tissue,Heart,GTEX: Normal Tissue
832,GTEX-ZPIC-0002-SM-4WWEC,GTEX,8.354,Cell Line,Cells,GTEX: Cell Line
838,GTEX-13O1R-0226-SM-5K7U5,GTEX,9.407,Normal Tissue,Adipose,GTEX: Normal Tissue
842,GTEX-12ZZW-2926-SM-5LZUP,GTEX,10.51,Normal Tissue,Brain,GTEX: Normal Tissue
844,GTEX-Y3IK-0726-SM-4WWE5,GTEX,12.67,Normal Tissue,Artery,GTEX: Normal Tissue
845,GTEX-VJYA-0826-SM-4KL1M,GTEX,12.22,Normal Tissue,Pancreas,GTEX: Normal Tissue
847,GTEX-WEY5-1026-SM-4LMK9,GTEX,11.56,Normal Tissue,Esophagus,GTEX: Normal Tissue
848,GTEX-ZYT6-1226-SM-5E44Q,GTEX,11.79,Normal Tissue,Esophagus,GTEX: Normal Tissue
849,GTEX-133LE-0326-SM-5P9G4,GTEX,12.88,Normal Tissue,Thyroid,GTEX: Normal Tissue
851,GTEX-145ME-0326-SM-5S2QO,GTEX,11.72,Normal Tissue,Pancreas,GTEX: Normal Tissue
852,GTEX-QEG4-0008-SM-48TYZ,GTEX,10.36,Cell Line,Cells,GTEX: Cell Line
853,GTEX-U3ZN-0002-SM-3NMDF,GTEX,8.599,Cell Line,Cells,GTEX: Cell Line
854,GTEX-YB5E-0526-SM-4VDSD,GTEX,12.16,Normal Tissue,Pancreas,GTEX: Normal Tissue
855,GTEX-117YW-0226-SM-5N9CM,GTEX,12.86,Normal Tissue,Artery,GTEX: Normal Tissue
856,GTEX-12584-3126-SM-5EGKR,GTEX,10.51,Normal Tissue,Pituitary,GTEX: Normal Tissue
866,GTEX-ZAB4-2426-SM-5HL8A,GTEX,11.33,Normal Tissue,Colon,GTEX: Normal Tissue
867,GTEX-R45C-1226-SM-48FEE,GTEX,13.15,Normal Tissue,Esophagus,GTEX: Normal Tissue
869,GTEX-14A5I-2726-SM-5SIB3,GTEX,12.77,Normal Tissue,Vagina,GTEX: Normal Tissue
870,GTEX-ZLV1-1926-SM-5FQSF,GTEX,12.81,Normal Tissue,Artery,GTEX: Normal Tissue
871,GTEX-PWCY-0826-SM-48TCR,GTEX,11.51,Normal Tissue,Esophagus,GTEX: Normal Tissue
872,GTEX-12WSB-0126-SM-59HJN,GTEX,13.05,Normal Tissue,Skin,GTEX: Normal Tissue
877,GTEX-ZXG5-0926-SM-5NQ8H,GTEX,13.05,Normal Tissue,Thyroid,GTEX: Normal Tissue
878,GTEX-13N2G-2326-SM-5J1ON,GTEX,11.31,Normal Tissue,Muscle,GTEX: Normal Tissue
881,GTEX-S4UY-0426-SM-3K2AF,GTEX,12.3,Normal Tissue,Artery,GTEX: Normal Tissue
882,GTEX-X261-0011-R5A-SM-3NMB4,GTEX,11.18,Normal Tissue,Brain,GTEX: Normal Tissue
883,GTEX-12126-0726-SM-5FQTX,GTEX,12.84,Normal Tissue,Artery,GTEX: Normal Tissue
888,GTEX-PWN1-2426-SM-48TDD,GTEX,11.65,Normal Tissue,Ovary,GTEX: Normal Tissue
889,GTEX-131YS-2926-SM-5EGKI,GTEX,11.72,Normal Tissue,Colon,GTEX: Normal Tissue
890,GTEX-13OVG-0005-SM-5P9HA,GTEX,7.646,Normal Tissue,Whole Blood,GTEX: Normal Tissue
892,GTEX-UPIC-1726-SM-4IHKG,GTEX,13.66,Normal Tissue,Colon,GTEX: Normal Tissue
894,GTEX-NPJ8-1926-SM-3MJGB,GTEX,13.44,Normal Tissue,Esophagus,GTEX: Normal Tissue
895,GTEX-ZUA1-2726-SM-59HLJ,GTEX,11.62,Normal Tissue,Testis,GTEX: Normal Tissue
899,GTEX-12WSG-1026-SM-5EGII,GTEX,12.13,Normal Tissue,Pancreas,GTEX: Normal Tissue
900,GTEX-11OC5-0626-SM-5HL6M,GTEX,8.439,Normal Tissue,Brain,GTEX: Normal Tissue
901,GTEX-14C39-2526-SM-5S2UH,GTEX,9.344,Normal Tissue,Adipose,GTEX: Normal Tissue
902,GTEX-XPT6-0006-SM-4B66Q,GTEX,7.532,Normal Tissue,Whole Blood,GTEX: Normal Tissue
903,GTEX-X585-2526-SM-4QAS1,GTEX,11.28,Normal Tissue,Adipose,GTEX: Normal Tissue
904,GTEX-TMKS-0005-SM-33OV7,GTEX,8.905,Normal Tissue,Whole Blood,GTEX: Normal Tissue
906,GTEX-ZP4G-0826-SM-4WWF3,GTEX,12.5,Normal Tissue,Vagina,GTEX: Normal Tissue
907,GTEX-145MI-0011-R8b-SM-5PNZ9,GTEX,8.809,Normal Tissue,Brain,GTEX: Normal Tissue
913,GTEX-146FH-2126-SM-5SI9U,GTEX,11.76,Normal Tissue,Stomach,GTEX: Normal Tissue
915,GTEX-1399R-0526-SM-5IJEF,GTEX,13.13,Normal Tissue,Prostate,GTEX: Normal Tissue
916,GTEX-QLQ7-1326-SM-4R1JY,GTEX,11.95,Normal Tissue,Prostate,GTEX: Normal Tissue
919,GTEX-144GL-1026-SM-5O99R,GTEX,13.07,Normal Tissue,Heart,GTEX: Normal Tissue
923,GTEX-ZVZQ-0011-R7b-SM-57WBB,GTEX,9.749,Normal Tissue,Brain,GTEX: Normal Tissue
924,GTEX-WWYW-0011-R1A-SM-3TW8G,GTEX,9.439,Normal Tissue,Brain,GTEX: Normal Tissue
925,GTEX-148VI-1226-SM-5RQJR,GTEX,11.65,Normal Tissue,Esophagus,GTEX: Normal Tissue
926,GTEX-ZY6K-1826-SM-5GZXK,GTEX,13.55,Normal Tissue,Skin,GTEX: Normal Tissue
927,GTEX-Y5V6-2426-SM-4VDSB,GTEX,12.69,Normal Tissue,Skin,GTEX: Normal Tissue
935,GTEX-P4PQ-2126-SM-3NMCV,GTEX,11.51,Normal Tissue,Testis,GTEX: Normal Tissue
936,GTEX-12WSN-2726-SM-5LZUK,GTEX,12.16,Normal Tissue,Artery,GTEX: Normal Tissue
938,GTEX-QVJO-0008-SM-447AU,GTEX,10.95,Cell Line,Cells,GTEX: Cell Line
942,GTEX-13NZA-0326-SM-5J1MK,GTEX,13.02,Normal Tissue,Nerve,GTEX: Normal Tissue
944,GTEX-11VI4-0126-SM-5GU6Z,GTEX,9.509,Normal Tissue,Spleen,GTEX: Normal Tissue
945,GTEX-ZPU1-0826-SM-57WG2,GTEX,9.286,Normal Tissue,Liver,GTEX: Normal Tissue
947,GTEX-XV7Q-0826-SM-4BRV7,GTEX,11.68,Normal Tissue,Heart,GTEX: Normal Tissue
950,GTEX-WQUQ-1826-SM-4OOSD,GTEX,11.64,Normal Tissue,Esophagus,GTEX: Normal Tissue
951,GTEX-147GR-0011-R4a-SM-5S2V2,GTEX,10.11,Normal Tissue,Brain,GTEX: Normal Tissue
953,GTEX-NPJ8-2426-SM-3MJHL,GTEX,12.15,Normal Tissue,Prostate,GTEX: Normal Tissue
954,GTEX-13OVG-0826-SM-5L3D8,GTEX,12.41,Normal Tissue,Artery,GTEX: Normal Tissue
955,GTEX-N7MT-0326-SM-48TDP,GTEX,13.75,Normal Tissue,Esophagus,GTEX: Normal Tissue
963,GTEX-YEC4-1026-101814-SM-5P9FX,GTEX,13.42,Normal Tissue,Esophagus,GTEX: Normal Tissue
967,GTEX-XUZC-1026-SM-4BOPY,GTEX,11.34,Normal Tissue,Ovary,GTEX: Normal Tissue
969,GTEX-Y5V5-0826-SM-4VBQD,GTEX,12.74,Normal Tissue,Lung,GTEX: Normal Tissue
978,GTEX-ZTX8-1426-SM-5DUVO,GTEX,13.95,Normal Tissue,Skin,GTEX: Normal Tissue
980,GTEX-13OVH-0126-SM-5MR4B,GTEX,13.09,Normal Tissue,Skin,GTEX: Normal Tissue
981,GTEX-14BMV-0326-SM-5RQHW,GTEX,11.11,Normal Tissue,Muscle,GTEX: Normal Tissue
982,GTEX-SIU7-1126-SM-2XCDW,GTEX,13.51,Normal Tissue,Thyroid,GTEX: Normal Tissue
984,GTEX-1211K-2326-SM-5FQU7,GTEX,13.06,Normal Tissue,Nerve,GTEX: Normal Tissue
985,GTEX-1212Z-0226-SM-59HLF,GTEX,11.88,Normal Tissue,Liver,GTEX: Normal Tissue
986,GTEX-XUYS-0326-SM-47JX2,GTEX,11.27,Normal Tissue,Muscle,GTEX: Normal Tissue
987,GTEX-ZV7C-0726-SM-59HKH,GTEX,12.0,Normal Tissue,Pancreas,GTEX: Normal Tissue
988,GTEX-XBED-2626-SM-4E3J5,GTEX,10.58,Normal Tissue,Muscle,GTEX: Normal Tissue
990,GTEX-1211K-0826-SM-5FQUP,GTEX,12.03,Normal Tissue,Lung,GTEX: Normal Tissue
992,GTEX-XUW1-0926-SM-4BONX,GTEX,13.56,Normal Tissue,Skin,GTEX: Normal Tissue
995,GTEX-12WSI-0826-SM-5EGKD,GTEX,11.9,Normal Tissue,Lung,GTEX: Normal Tissue
998,GTEX-133LE-1226-SM-5IFGC,GTEX,11.54,Normal Tissue,Ovary,GTEX: Normal Tissue
1001,GTEX-RVPU-0011-R9A-SM-3NM8E,GTEX,8.67,Normal Tissue,Brain,GTEX: Normal Tissue
1003,GTEX-11TTK-2726-SM-5GU58,GTEX,13.64,Normal Tissue,Vagina,GTEX: Normal Tissue
1006,GTEX-145MG-1526-SM-5Q5EM,GTEX,13.12,Normal Tissue,Skin,GTEX: Normal Tissue
1008,GTEX-V1D1-1926-SM-4JBGX,GTEX,13.56,Normal Tissue,Prostate,GTEX: Normal Tissue
1012,GTEX-NFK9-0526-SM-2YUNL,GTEX,13.07,Normal Tissue,Artery,GTEX: Normal Tissue
1014,GTEX-WZTO-0626-SM-4PQYY,GTEX,12.8,Normal Tissue,Liver,GTEX: Normal Tissue
1016,GTEX-11TTK-2926-SM-5PNYP,GTEX,10.68,Normal Tissue,Brain,GTEX: Normal Tissue
1017,GTEX-13O3P-0926-SM-5IFFI,GTEX,11.16,Normal Tissue,Adipose,GTEX: Normal Tissue
1021,GTEX-12696-3126-SM-5FQUX,GTEX,10.57,Normal Tissue,Pituitary,GTEX: Normal Tissue
1022,GTEX-ZEX8-0726-SM-4WKH8,GTEX,9.254,Normal Tissue,Spleen,GTEX: Normal Tissue
1023,GTEX-UJMC-0526-SM-3GAE3,GTEX,12.42,Normal Tissue,Heart,GTEX: Normal Tissue
1026,GTEX-11DZ1-0226-SM-5A5KF,GTEX,9.817,Normal Tissue,Adipose,GTEX: Normal Tissue
1027,GTEX-ZV7C-0326-SM-57WB1,GTEX,12.07,Normal Tissue,Heart,GTEX: Normal Tissue
1028,GTEX-WYVS-2126-SM-3NMA3,GTEX,13.35,Normal Tissue,Skin,GTEX: Normal Tissue
1031,GTEX-13OW6-2626-SM-5IFF2,GTEX,12.02,Normal Tissue,Liver,GTEX: Normal Tissue
1035,GTEX-ZV7C-0003-SM-4YCF6,GTEX,9.061,Cell Line,Cells,GTEX: Cell Line
1039,GTEX-13N11-1526-SM-5L3FL,GTEX,11.67,Normal Tissue,Vagina,GTEX: Normal Tissue
1041,GTEX-131XG-0226-SM-5IFG1,GTEX,12.82,Normal Tissue,Thyroid,GTEX: Normal Tissue
1042,GTEX-14753-0426-SM-5NQAM,GTEX,13.22,Normal Tissue,Skin,GTEX: Normal Tissue
1044,GTEX-11I78-0226-SM-5HL6R,GTEX,9.528,Normal Tissue,Adipose,GTEX: Normal Tissue
1047,GTEX-1211K-0926-SM-5FQTL,GTEX,12.84,Normal Tissue,Esophagus,GTEX: Normal Tissue
1048,GTEX-11WQC-2426-SM-5EQKQ,GTEX,9.613,Normal Tissue,Adipose,GTEX: Normal Tissue
1051,GTEX-14753-0011-R8b-SM-5S2U1,GTEX,9.936,Normal Tissue,Brain,GTEX: Normal Tissue
1056,GTEX-X4EP-2926-SM-3P5YQ,GTEX,12.59,Normal Tissue,Breast,GTEX: Normal Tissue
1058,GTEX-ZYY3-0826-SM-5E44R,GTEX,11.87,Normal Tissue,Pancreas,GTEX: Normal Tissue
1059,GTEX-Y5LM-2326-SM-5S2NK,GTEX,11.85,Normal Tissue,Artery,GTEX: Normal Tissue
1061,GTEX-PW2O-0526-SM-2I3DX,GTEX,12.32,Normal Tissue,Lung,GTEX: Normal Tissue
1063,GTEX-117YX-1426-SM-5H12H,GTEX,10.02,Normal Tissue,Breast,GTEX: Normal Tissue
1064,GTEX-WL46-0626-SM-3LK7R,GTEX,11.01,Normal Tissue,Muscle,GTEX: Normal Tissue
1065,GTEX-14BIL-0006-SM-5N9F2,GTEX,8.559,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1066,GTEX-XV7Q-0626-SM-4BRV5,GTEX,13.39,Normal Tissue,Artery,GTEX: Normal Tissue
1067,GTEX-QDVN-2126-SM-33HBS,GTEX,12.29,Normal Tissue,Adipose,GTEX: Normal Tissue
1069,GTEX-PLZ6-0426-SM-5IFK2,GTEX,12.06,Normal Tissue,Lung,GTEX: Normal Tissue
1071,GTEX-12WSG-2726-SM-5EQ5M,GTEX,13.27,Normal Tissue,Nerve,GTEX: Normal Tissue
1075,GTEX-1269C-0626-SM-5FQSS,GTEX,10.09,Normal Tissue,Liver,GTEX: Normal Tissue
1076,GTEX-NPJ8-0007-SM-26GMF,GTEX,5.198,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1078,GTEX-ZQG8-2226-SM-5DUWD,GTEX,12.79,Normal Tissue,Esophagus,GTEX: Normal Tissue
1079,GTEX-111FC-3326-SM-5GZYV,GTEX,9.111,Normal Tissue,Brain,GTEX: Normal Tissue
1080,GTEX-ZF2S-2326-SM-4WWCE,GTEX,13.8,Normal Tissue,Skin,GTEX: Normal Tissue
1082,GTEX-N7MS-0826-SM-2HML4,GTEX,11.92,Normal Tissue,Heart,GTEX: Normal Tissue
1085,GTEX-NPJ8-0007-SM-26GMW,GTEX,5.668,Normal Tissue,Whole Blood,GTEX: Normal Tissue
1086,GTEX-WRHK-0226-SM-4MVOH,GTEX,11.86,Normal Tissue,Pancreas,GTEX: Normal Tissue
1087,GTEX-ZP4G-0926-SM-4WWF4,GTEX,11.96,Normal Tissue,Esophagus,GTEX: Normal Tissue
1090,GTEX-12WSD-0226-SM-59HKO,GTEX,10.88,Normal Tissue,Adipose,GTEX: Normal Tissue
1092,GTEX-145LS-0011-R7a-SM-5PNWM,GTEX,9.593,Normal Tissue,Brain,GTEX: Normal Tissue
1094,GTEX-13OW8-1026-SM-5J1NQ,GTEX,13.12,Normal Tissue,Skin,GTEX: Normal Tissue
1098,GTEX-11PRG-2826-SM-5BC54,GTEX,8.96,Normal Tissue,Brain,GTEX: Normal Tissue
1099,GTEX-U3ZM-0526-SM-4DXTB,GTEX,13.47,Normal Tissue,Esophagus,GTEX: Normal Tissue
1101,GTEX-Z9EW-0526-SM-5HL8S,GTEX,13.6,Normal Tissue,Esophagus,GTEX: Normal Tissue
1105,GTEX-13FHO-0526-SM-5K7VS,GTEX,13.41,Normal Tissue,Nerve,GTEX: Normal Tissue
1106,GTEX-12WSB-3226-SM-59HJP,GTEX,10.4,Normal Tissue,Pituitary,GTEX: Normal Tissue
1111,GTEX-ZLV1-0926-SM-5S2MR,GTEX,9.195,Normal Tissue,Adipose,GTEX: Normal Tissue
1112,GTEX-X8HC-0626-SM-4E3HQ,GTEX,12.66,Normal Tissue,Skin,GTEX: Normal Tissue
1113,GTEX-WHSB-2026-SM-3LK6H,GTEX,13.65,Normal Tissue,Nerve,GTEX: Normal Tissue
1115,GTEX-13PVR-0426-SM-5RQK2,GTEX,13.26,Normal Tissue,Skin,GTEX: Normal Tissue
